Date,Step,exam_week,day_of_week,is_weekend,Step_normalized,Step_Rolling_Avg,Cumulative_Steps
2024-11-02,2136,1,5,1,0.11231922305499842,3635.4285714285716,200029
2024-11-03,9695,1,6,1,0.5112952602132376,5019.285714285715,209724
2024-11-04,8539,1,0,0,0.45027974242584184,5364.0,218263
2024-11-05,2875,1,1,0,0.15132481790351526,5264.857142857143,221138
2024-11-06,7974,1,2,0,0.4204581441993033,5896.714285714285,229112
2024-11-07,8038,1,3,0,0.42383616594531826,6173.285714285715,237150
2024-11-08,3719,1,4,0,0.19587247967908794,6139.428571428572,240869
2024-11-09,1616,1,5,1,0.08487279636862663,6065.142857142857,242485
2024-11-10,6723,1,6,1,0.3544283753826665,5640.571428571428,249208
2024-11-11,7271,1,0,0,0.3833526865829199,5459.428571428572,256479
2024-11-12,3155,1,1,0,0.16610366304233085,5499.428571428572,259634
2024-11-13,3775,1,2,0,0.19882824870685106,4899.571428571428,263409
2024-11-14,1989,1,3,0,0.10456032935712023,4035.4285714285716,265398
2024-11-15,1215,1,4,0,0.06370737886625145,3677.714285714286,266613
2024-11-16,6776,1,5,1,0.3572257996410852,4414.857142857143,273389
2024-11-17,4222,0,6,1,0.2224216193391745,4057.5714285714284,277611
2024-11-18,11247,0,0,0,0.5932122875541012,4625.571428571428,288858
2024-11-19,7506,0,1,0,0.3957563601815687,5247.142857142857,296364
2024-11-20,10766,0,2,0,0.5678243428692072,6245.857142857143,307130
2024-11-21,7352,0,3,0,0.3876279953552201,7012.0,314482
2024-11-22,8448,0,4,0,0.4454766177557268,8045.285714285715,322930
2024-11-23,136,0,5,1,0.00675604349202998,7096.714285714285,323066
2024-11-24,17357,0,6,1,0.9157078011189697,8973.142857142857,340423
2024-11-25,7640,0,0,0,0.40282909321228755,8457.857142857143,348063
2024-11-26,5650,0,1,0,0.29779372954713396,8192.714285714286,353713
2024-11-27,5686,0,2,0,0.2996938667792674,7467.0,359399
2024-11-28,7901,0,3,0,0.41660508814525493,7545.428571428572,367300
2024-11-29,4095,1,4,0,0.215718357436926,6923.571428571428,371395
2024-11-30,5271,1,5,1,0.2777895070199514,7657.142857142857,376666
2024-12-01,5422,1,6,1,0.28575952707695557,5952.142857142857,382088
2024-12-02,8256,0,0,0,0.43534255251768184,6040.142857142857,390344
2024-12-03,5465,0,1,0,0.28802913543755937,6013.714285714285,395809
2024-12-04,7592,1,2,0,0.4002955769027763,6286.0,403401
2024-12-05,4717,1,3,0,0.2485485062810092,5831.142857142857,408118
2024-12-06,2265,1,4,0,0.11912804813680988,5569.714285714285,410383
2024-12-07,2792,1,5,1,0.14694394595165206,5215.571428571428,413175
2024-12-08,401,0,6,1,0.0207431647841233,4498.285714285715,413576
2024-12-09,18954,0,0,0,1.0,6026.571428571428,432530
2024-12-10,4467,0,1,0,0.23535310883563812,5884.0,436997
2024-12-11,8050,0,2,0,0.42446954502269607,5949.428571428572,445047
2024-12-12,46,1,3,0,0.0020057004116964,5282.142857142857,445093
2024-12-13,2292,1,4,0,0.12055315106090995,5286.0,447385
2024-12-14,4216,1,5,1,0.2221049298004856,5489.428571428572,451601
2024-12-15,1079,0,6,1,0.0565290826559696,5586.285714285715,452680
2024-12-16,11698,0,0,0,0.6170167845455505,4549.714285714285,464378
2024-12-17,9238,0,1,0,0.48717407368309934,5231.285714285715,473616
2024-12-18,9072,0,2,0,0.478412329779373,5377.285714285715,482688
2024-12-19,6574,0,3,0,0.3465639185052254,6309.857142857143,489262
2024-12-20,5221,0,4,0,0.2751504275308772,6728.285714285715,494483
2024-12-21,2833,0,5,1,0.1491079911326929,6530.714285714285,497316
2024-12-22,7283,0,6,1,0.3839860656602977,7417.0,504599
2024-12-23,9892,0,0,0,0.52169323340019,7159.0,514491
2024-12-24,3631,0,1,0,0.19122769977831733,6358.0,518122
2024-12-25,5831,0,2,0,0.3073471972975826,5895.0,523953
2024-12-26,6505,0,3,0,0.34292198881030295,5885.142857142857,530458
2024-12-27,4363,0,4,0,0.22986382349836376,5762.571428571428,534821
2024-12-28,3655,0,5,1,0.19249445793307293,5880.0,538476
2024-12-29,1136,0,6,1,0.0595376332735142,5001.857142857143,539612
2024-12-30,2212,0,0,0,0.11633062387839121,3904.714285714286,541824
2024-12-31,2415,1,1,0,0.12704528660403253,3731.0,544239
2025-01-01,1979,1,2,0,0.10403251345930539,3180.714285714286,546218
2025-01-02,3350,1,3,0,0.17639607304972027,2730.0,549568
2025-01-03,1650,1,4,0,0.08666737042119708,2342.4285714285716,551218
2025-01-04,4384,1,5,1,0.23097223688377494,2446.5714285714284,555602
2025-01-05,2798,1,6,1,0.14726063549034096,2684.0,558400
2025-01-06,3227,1,0,0,0.16990393750659769,2829.0,561627
2025-01-07,6824,1,1,0,0.35975931595059646,3458.8571428571427,568451
2025-01-08,2091,1,2,0,0.10994405151483162,3474.8571428571427,570542
